FlowID, src, dst, maxDelay, T_tx, length, talker_txSpeed, listener_txSpeed
0, 1, 3, 2e-3, 2e-3, 32, 1e9, 1e9
1, 1, 3, 2e-3, 2e-3, 32, 1e9, 1e9
2, 1, 3, 2e-3, 2e-3, 32, 1e9, 1e9
3, 0, 2, 2e-3, 2e-3, 64, 1e9, 1e9
4, 0, 3, 2e-3, 4e-3, 64, 1e9, 1e9
5, 1, 2, 2e-3, 4e-3, 64, 1e9, 1e9
6, 1, 3, 4e-3, 4e-3, 64, 1e9, 1e9
7, 1, 2, 4e-3, 4e-3, 256, 1e9, 1e9
8, 2, 1, 4e-3, 4e-3, 256, 1e9, 1e9
9, 3, 1, 4e-3, 4e-3, 256, 1e9, 1e9
10, 0, 3, 4e-3, 8e-3, 256, 1e9, 1e9
11, 2, 3, 4e-3, 8e-3, 256, 1e9, 1e9
12, 3, 2, 4e-3, 8e-3, 256, 1e9, 1e9
13, 0, 2, 4e-3, 8e-3, 256, 1e9, 1e9
14, 2, 3, 4e-3, 8e-3, 256, 1e9, 1e9
15, 3, 0, 4e-3, 8e-3, 256, 1e9, 1e9
16, 2, 0, 4e-3, 8e-3, 256, 1e9, 1e9
