src,dst,maxDelay,T_tx,length,talker_txSpeed,listener_rxSpeed
1,5,0.001,0.002,64,1e9,1e9
0,6,0.00025,0.00025,128,1e9,1e9
3,1,0.005,0.0005,512,1e9,1e9
3,6,0.00075,0.0005,32,1e9,1e9
1,3,0.005,0.002,512,1e9,1e9
6,1,0.00025,0.00025,32,1e9,1e9
3,1,0.005,0.0005,1024,1e9,1e9
1,5,0.002,0.001,256,1e9,1e9
1,0,0.00075,0.0005,512,1e9,1e9
5,3,0.00075,0.001,64,1e9,1e9
1,0,0.00025,0.002,512,1e9,1e9
0,5,0.002,0.002,256,1e9,1e9
3,0,0.00025,0.0005,64,1e9,1e9
6,5,0.00025,0.00025,128,1e9,1e9
5,0,0.001,0.001,1024,1e9,1e9
3,1,0.005,0.0005,512,1e9,1e9
0,3,0.00025,0.00025,128,1e9,1e9
1,3,0.00025,0.00025,64,1e9,1e9
3,0,0.0005,0.002,512,1e9,1e9
0,1,0.005,0.001,32,1e9,1e9
